,timestamp,cpu_usage [%],mem_usage [%]
0,1.0049743000417948,8.9,34.6
0,2.0172479040920734,8.9,34.6
0,3.0280546601861715,9.3,34.6
0,4.0382847879081964,9.1,34.6
0,5.049062555655837,6.4,34.6
0,6.058377543464303,8.6,34.6
0,7.06852624937892,7.5,34.6
0,8.078892381861806,8.1,34.6
0,9.08891992457211,7.3,34.6
0,10.09926687553525,9.0,34.6
0,11.109269673004746,9.1,34.6
0,12.12013816088438,10.1,34.6
0,13.130254672840238,9.8,34.6
0,14.141167828813195,8.0,34.6
0,15.150998312979937,9.4,34.6
0,16.160144116729498,10.5,34.6
0,17.16887836717069,8.4,34.6
0,18.18015008419752,7.8,34.6
0,19.19085984863341,10.5,34.6
0,20.200833832845092,8.3,34.6
0,21.211805710569024,8.4,34.6
0,22.22325004450977,8.8,34.6
0,23.232880147174,11.1,34.6
0,24.243010725826025,10.4,34.6
0,25.253227243199944,7.1,34.6
0,26.262736324220896,8.0,34.6
0,27.273056076839566,10.5,34.6
0,28.283730573952198,9.0,34.6
0,29.29414582811296,6.4,34.6
0,30.305095804855227,6.6,34.6
0,31.31556453742087,16.0,34.6
0,32.32495374418795,8.0,34.6
0,33.33319604024291,8.9,34.5
0,34.344751354306936,11.6,34.5
