,timestamp,cpu_usage [%],mem_usage [%]
0,1.0050616823136806,32.6,33.2
0,2.0152939334511757,33.2,33.1
0,3.024849470704794,29.1,33.1
0,4.035562880337238,5.6,33.1
0,5.048474360257387,11.2,33.1
0,6.059621440246701,7.9,33.1
0,7.070716496556997,6.6,33.1
0,8.081742288544774,9.6,33.1
0,9.091871002689004,9.9,33.1
0,10.102312656119466,8.0,33.2
0,11.11275027319789,8.0,33.2
0,12.12077229656279,9.7,33.2
0,13.130205238237977,8.3,33.2
0,14.140479452908039,8.8,33.2
0,15.151998113840818,10.2,33.2
0,16.1629942599684,7.6,33.2
0,17.17339576780796,6.4,33.2
0,18.18419561162591,8.3,33.2
0,19.194712359458208,7.1,33.2
0,20.2057154327631,10.5,33.2
0,21.217382239177823,9.5,33.2
0,22.227990800514817,8.9,33.2
0,23.237478483468294,8.6,33.2
0,24.248093200847507,6.9,33.2
0,25.25995782017708,9.6,33.2
0,26.272261016070843,8.5,33.2
0,27.282551458105445,13.7,33.4
0,28.292274629697204,31.5,33.3
0,29.303734363988042,34.1,33.4
0,30.31465452350676,32.7,33.3
0,31.32450805976987,27.5,33.1
0,32.334895968437195,10.7,33.1
0,33.344645680859685,10.1,33.1
0,34.35572751611471,6.4,33.1
0,35.36632513254881,9.6,33.1
0,36.37700835056603,10.3,33.1
0,37.388259472325444,8.6,33.1
0,38.39751071296632,12.0,33.1
0,39.40523901209235,8.8,33.1
0,40.41655404679477,5.9,33.2
0,41.427801355719566,7.9,33.2
0,42.43905882909894,10.6,33.2
0,43.45004182308912,8.8,33.2
0,44.461874006316066,5.4,33.2
0,45.47369736619294,11.8,33.2
0,46.48450926505029,8.4,33.2
0,47.49566899612546,11.2,33.2
0,48.50665729306638,26.8,33.6
0,49.51717257499695,54.3,33.9
0,50.52792374417186,35.4,33.6
0,51.53888992033899,33.2,33.9
0,52.54769245162606,16.3,33.2
0,53.56005319952965,8.1,33.2
0,54.57253188453615,6.8,33.2
0,55.58434138074517,10.2,33.2
0,56.59648668766022,7.5,33.2
0,57.60781124792993,17.0,33.6
