tc,cpu_avg_percent,mem_avg_percent
37,18.889144736842105,33.66710526315789
35,16.250413223140495,33.79876033057851
29,19.65766871165644,33.56319018404908
27,14.206640625,33.80859375
13,8.631707317073172,34.041463414634144
34,13.565441176470587,33.60955882352942
32,8.994117647058824,34.59411764705882
26,12.684904990717483,34.37725783553565
25,13.85,34.33468468468469
24,13.898245614035089,33.22631578947369
23,15.972413793103447,34.57327586206897
18,12.755887850467289,34.074766355140184
17,12.393253968253967,34.44702380952381
16,13.141218637992832,34.67311827956989
15,13.613924050632912,34.4875226039783
12,12.44806451612903,33.865806451612904
11,12.308290155440414,33.96139896373057
10,10.34140625,34.364062499999996
9,11.223410404624278,34.42890173410405
4,11.694915254237289,34.292843691148775
3,10.465553235908143,33.81701461377871
2,11.630743243243243,34.093243243243236
1,11.170813397129185,33.86578947368422
