,timestamp,cpu_usage [%],mem_usage [%]
0,1.0061120372265577,3.8,34.9
0,2.0202396772801876,3.3,34.9
0,3.0323358960449696,1.5,34.9
0,4.043953126296401,3.8,34.9
0,5.056229082867503,5.3,34.9
0,6.067638488486409,7.3,34.9
0,7.078716302290559,5.8,34.9
0,8.09006566926837,14.3,35.3
0,9.10117926262319,27.7,35.3
0,10.112090261653066,30.3,35.1
0,11.122116396203637,28.8,35.1
0,12.132811898365617,20.0,34.9
0,13.142565803602338,4.8,34.9
0,14.154564404860139,6.3,34.9
0,15.166085986420512,5.0,35.0
0,16.177971629425883,5.0,35.0
0,17.18887098133564,5.5,35.0
0,18.200426565483212,5.5,35.0
0,19.21173775754869,8.0,35.0
0,20.223477033898234,5.5,35.0
0,21.235328786075115,3.1,35.0
0,22.247837962582707,4.7,35.0
0,23.259686026722193,3.8,35.0
0,24.2714534830302,4.5,35.0
0,25.282703265547752,4.1,35.0
0,26.29526225849986,2.5,35.0
0,27.307344038039446,5.3,35.0
0,28.318524418398738,7.8,34.9
0,29.33100867085159,5.5,34.9
0,30.342737654224038,6.3,34.9
0,31.35428505577147,5.8,34.9
0,32.36670077778399,3.3,34.9
0,33.378632389009,5.0,34.9
0,34.39089265279472,3.8,34.9
0,35.40291490778327,12.8,33.8
0,36.41493970528245,5.0,33.8
0,37.426849676296115,7.0,33.8
0,38.438009498640895,16.0,34.0
0,39.44901286251843,29.3,34.0
0,40.46021864190698,29.1,33.8
0,41.468808157369494,28.1,34.2
0,42.48004648461938,16.2,33.8
0,43.49167997390032,7.2,33.8
0,44.503152050077915,15.9,34.1
0,45.51493910327554,8.1,33.8
0,46.526562217622995,3.8,33.8
0,47.53876332566142,4.5,33.8
0,48.55002156831324,4.5,33.8
0,49.56190440990031,6.9,33.8
0,50.5726949647069,9.9,33.8
0,51.584075866267085,7.5,33.8
0,52.59415453672409,4.3,33.8
0,53.605334209278226,5.7,33.8
0,54.61783029139042,2.5,33.8
0,55.62886352278292,4.5,33.8
0,56.6383791025728,1.3,33.8
0,57.65020501241088,4.3,33.8
0,58.661758502945304,3.3,33.8
0,59.67373895086348,6.8,33.8
0,60.68513002619147,4.8,33.8
0,61.696527663618326,3.3,33.8
0,62.7076547332108,2.5,33.8
0,63.719213334843516,4.6,33.8
0,64.72988079674542,2.8,33.8
0,65.7412602584809,9.2,33.8
0,66.75272301957011,7.8,33.8
0,67.76392039470375,7.1,33.8
0,68.77339497022331,9.0,33.8
0,69.78264502622187,8.8,33.8
0,70.79431889764965,8.2,33.8
0,71.80584675073624,11.1,33.8
0,72.81747665442526,8.1,33.8
0,73.82984055019915,9.1,33.8
0,74.84131186269224,10.0,33.8
0,75.85270495899022,7.8,33.8
0,76.86634295806289,10.5,33.9
0,77.87757712602615,13.6,33.8
0,78.88894206099212,11.1,33.8
0,79.90027806721628,7.9,33.8
0,80.91165499016643,12.0,33.8
0,81.92369055561721,9.5,33.8
0,82.93540951423347,9.0,33.8
