,timestamp,cpu_usage [%],mem_usage [%]
0,1.0061062816530466,10.7,34.1
0,2.0198986046016216,21.1,34.4
0,3.031282627955079,31.9,34.3
0,4.045134119689465,33.9,34.5
0,5.0560583006590605,31.3,34.3
0,6.067058093845844,23.0,34.1
0,7.078555850312114,8.0,34.1
0,8.089563112705946,7.4,34.1
0,9.100828221067786,12.5,34.5
0,10.11275595612824,19.4,34.1
0,11.123453157022595,10.7,34.1
0,12.135425727814436,7.7,34.1
0,13.14574753306806,7.3,34.1
0,14.155227968469262,9.5,34.1
0,15.16411754488945,34.0,34.2
0,16.174946933984756,35.3,35.1
0,17.18818823993206,56.0,34.6
0,18.20034758001566,58.1,34.2
0,19.211151372641325,34.4,34.7
0,20.22148635983467,36.0,34.3
0,21.231820978224277,33.2,34.5
0,22.24181421659887,34.8,34.3
0,23.252933245152235,31.1,35.0
0,24.263677898794413,8.7,34.9
0,25.274877052754164,5.6,34.9
0,26.285560658201575,9.5,35.0
0,27.297210779041052,6.9,35.0
0,28.30785406753421,8.1,35.0
0,29.318278992548585,7.6,35.0
0,30.32944676093757,14.5,35.0
0,31.341431768611073,16.8,35.0
0,32.352178905159235,8.0,35.0
0,33.363366175442934,8.1,35.0
0,34.37380236759782,10.5,35.0
0,35.38547704741359,7.8,35.0
0,36.39688616991043,7.6,35.0
0,37.408013600856066,11.1,35.0
0,38.41931336559355,8.6,35.0
0,39.42968510463834,8.3,35.0
0,40.440637020394206,11.5,35.0
0,41.45184250921011,7.8,35.0
0,42.463258404284716,8.6,35.0
0,43.47329441644251,9.3,35.0
0,44.48424302786589,12.9,35.0
0,45.49183139204979,9.5,35.0
0,46.502414198592305,7.8,35.0
0,47.51375677250326,10.3,35.0
0,48.5258379727602,7.2,35.0
0,49.53702701255679,7.8,35.0
0,50.54798277653754,10.2,35.0
0,51.55867154896259,8.1,35.0
0,52.569871412590146,8.1,35.0
0,53.58043020218611,9.0,35.0
0,54.59105134382844,7.9,35.0
0,55.60162984393537,8.3,35.0
0,56.61144118383527,6.5,35.0
0,57.622624760493636,9.4,35.0
0,58.63302235305309,7.8,35.0
0,59.64413254894316,15.7,35.3
0,60.65528517216444,34.2,35.5
0,61.66618346236646,18.2,35.0
0,62.67758745700121,7.1,35.0
0,63.68845091573894,8.8,35.0
0,64.69988162629306,6.9,35.0
0,65.71105501614511,7.8,35.0
0,66.7222547288984,6.6,35.0
0,67.73367931321263,9.3,35.1
0,68.74532718025148,7.9,35.1
