,timestamp,cpu_usage [%],mem_usage [%]
0,1.0064720250666142,5.8,35.0
0,2.0199806839227676,7.3,35.0
0,3.0307862479239702,4.0,35.0
0,4.0413960590958595,7.8,35.0
0,5.052587116137147,8.6,35.0
0,6.063641892746091,9.0,35.0
0,7.074286974966526,11.7,35.4
0,8.085592716932297,21.0,35.0
0,9.096582654863596,10.1,35.0
0,10.107248779386282,6.9,35.0
0,11.1183487996459,13.6,35.0
0,12.128752896562219,6.6,35.0
0,13.140248229727149,7.9,35.0
0,14.150752257555723,7.9,35.0
0,15.16180513240397,16.9,35.3
0,16.172213640064,34.3,35.3
0,17.18303140811622,32.9,35.0
0,18.19399834983051,33.2,35.4
0,19.20460432767868,24.6,34.9
0,20.21628080494702,6.1,34.9
0,21.226762801408768,12.3,34.9
0,22.237433791160583,8.0,34.9
0,23.248189985752106,8.4,34.9
0,24.259780636057258,5.8,34.9
0,25.27065345644951,10.4,35.0
0,26.280608827248216,9.6,35.0
0,27.291662462055683,10.7,35.0
0,28.30258804000914,9.6,35.0
0,29.313649408519268,8.6,35.0
0,30.323785925284028,7.6,35.0
0,31.3347751442343,8.4,35.0
0,32.34557945281267,10.6,35.0
0,33.35648592747748,6.2,35.0
0,34.36705453507602,6.1,35.0
0,35.37765124812722,8.8,35.0
0,36.38795387931168,9.4,35.0
0,37.398714911192656,6.5,35.0
0,38.40973236039281,10.4,35.0
0,39.420398915186524,9.2,35.0
0,40.43146613612771,7.1,35.0
0,41.44192735105753,9.5,35.0
0,42.45212833583355,7.1,35.0
0,43.463223023340106,7.1,35.0
0,44.47488335892558,7.8,35.0
0,45.485546531155705,16.7,35.4
0,46.49379963055253,35.6,35.3
0,47.507714161649346,31.7,35.4
0,48.51803911104798,33.5,35.4
0,49.529475063085556,25.8,35.0
0,50.54083210788667,9.5,35.0
0,51.55095879919827,6.6,35.0
0,52.56178190000355,10.1,35.0
0,53.57348213531077,7.2,35.0
0,54.58506429195404,8.7,35.0
0,55.597834227606654,7.1,35.0
0,56.61111658252776,9.0,35.0
0,57.621332783252,18.7,33.3
0,58.63244621641934,21.4,33.0
0,59.64587335474789,8.1,33.0
0,60.65731367096305,8.3,33.0
0,61.668340630829334,12.3,33.0
0,62.67930691316724,8.0,33.0
0,63.68984250165522,6.1,33.0
0,64.70070319622755,8.3,33.0
0,65.7119008321315,6.6,33.0
0,66.7237290982157,12.8,33.0
0,67.73506271839142,7.8,33.0
0,68.74541148357093,10.6,33.0
0,69.75579699873924,8.8,33.0
0,70.76549212820828,8.6,33.0
0,71.77496328763664,6.5,33.0
0,72.78626832738519,6.1,33.0
0,73.79757920652628,8.0,33.0
0,74.80665367655456,10.4,33.0
0,75.81866854988039,20.3,33.3
0,76.8301574382931,35.4,33.2
0,77.8417454585433,32.8,33.4
0,78.85245816223323,34.9,33.4
0,79.86389744281769,19.0,33.0
0,80.87483611889184,10.3,33.0
0,81.88322034291923,8.1,33.0
0,82.89088017493486,8.0,33.0
0,83.90367812290788,13.5,33.0
0,84.91459120810032,9.7,33.0
0,85.92492606677115,9.7,33.0
0,86.93306789174676,8.3,33.0
0,87.9442122913897,7.6,33.0
0,88.9543215315789,10.7,33.0
0,89.96442708745599,10.3,33.0
0,90.97512822598219,12.5,33.0
0,91.98437220603228,11.8,33.0
0,92.99523505941033,10.4,33.0
0,94.00340710766613,8.4,33.0
0,95.0166478138417,8.6,33.0
0,96.02743275091052,6.4,33.0
0,97.03877425193787,9.5,33.0
0,98.04986866004765,9.4,33.0
0,99.06043555960059,11.0,33.0
0,100.07238048687577,6.4,33.0
0,101.08414258435369,10.5,33.0
0,102.09583824314177,7.1,33.0
0,103.1076446492225,8.8,33.0
0,104.11924235150218,8.0,33.0
0,105.13130953535438,7.9,33.0
0,106.14211579971015,24.1,33.1
0,107.15355777926743,34.3,33.5
0,108.1638677790761,32.4,33.4
0,109.17494078725576,47.1,33.7
0,110.18652324937284,17.3,33.0
0,111.20028456673026,12.7,33.0
0,112.21263097971678,5.4,33.0
0,113.22508004680276,9.3,33.0
0,114.23652655817568,12.5,33.0
0,115.2485077753663,11.0,33.0
0,116.26014619134367,7.8,33.0
0,117.27217794768512,9.7,33.0
0,118.2837739083916,8.1,33.0
0,119.29237209074199,11.9,33.0
0,120.30443467572331,7.6,33.0
0,121.31596821919084,9.3,33.0
0,122.32993613742292,11.4,33.0
0,123.3420198764652,7.4,33.0
0,124.35441535525024,7.2,33.0
0,125.36637174524367,7.7,33.0
0,126.37834428809583,9.3,33.0
0,127.39068015106022,7.1,33.0
0,128.40304377116263,8.6,33.0
0,129.41531992703676,13.9,33.0
0,130.42705019935966,7.7,33.0
0,131.43888554349542,6.8,33.0
0,132.45099041424692,9.1,33.0
0,133.46249352023005,7.8,33.0
0,134.47426201589406,9.1,33.0
0,135.48701697960496,9.1,33.0
0,136.49865613505244,29.1,33.3
0,137.5125972237438,34.2,33.7
0,138.5238685477525,30.9,33.3
0,139.53539892472327,36.9,33.6
0,140.54870077967644,16.7,32.9
0,141.5600655451417,8.4,32.9
0,142.57181187160313,10.3,32.9
0,143.58380193449557,7.1,32.9
0,144.59463351033628,12.0,32.9
0,145.60682502388954,7.5,32.9
0,146.61972390674055,12.4,32.9
0,147.63255903683603,10.0,32.9
0,148.6441055610776,5.9,32.9
0,149.65639124438167,11.1,32.9
0,150.66713445447385,10.7,33.0
0,151.67711916007102,11.1,33.0
0,152.69120287522674,11.5,33.0
0,153.70322541892529,7.4,33.0
0,154.71450328081846,9.0,33.0
0,155.72704380005598,6.1,33.0
0,156.74017305485904,10.3,33.0
0,157.75234742090106,6.3,33.0
0,158.76533794403076,9.7,33.2
0,159.77555134147406,23.4,33.0
0,160.788281256333,6.9,33.0
0,161.80011782236397,6.9,33.0
0,162.813171710819,8.1,33.0
0,163.82570651359856,8.8,33.0
0,164.83900015242398,9.8,33.0
0,165.85085019096732,8.0,33.0
0,166.8640448655933,34.3,33.3
0,167.87653471529484,32.2,33.3
0,168.88849770650268,29.6,33.3
0,169.90010086447,36.0,33.3
0,170.91229598037899,13.3,32.9
0,171.9243214353919,6.1,32.9
0,172.93855774216354,7.4,33.0
0,173.95289138890803,5.9,33.0
0,174.96611220762134,11.2,33.0
0,175.97914084978402,7.4,33.0
0,176.9921981357038,16.2,33.0
0,178.0042066425085,6.1,33.0
0,179.01578071154654,7.6,33.0
0,180.0286428835243,10.9,33.0
0,181.0405297279358,9.5,33.0
0,182.05246502161026,11.1,33.0
0,183.06454456970096,9.6,33.0
0,184.07664589956403,6.6,33.0
0,185.08880694024265,10.1,33.0
0,186.1007628440857,6.8,33.0
0,187.11233113333583,9.3,33.0
0,188.1243515405804,5.3,33.0
0,189.1349435877055,9.3,33.0
0,190.14570571109653,12.1,33.0
0,191.15836419165134,11.2,33.0
0,192.17123221233487,7.7,33.0
0,193.18337521515787,8.1,33.0
0,194.19612435624003,6.8,33.0
0,195.20893913321197,8.5,33.0
0,196.2218123599887,8.0,33.0
0,197.2334126867354,37.4,33.2
0,198.24577627889812,32.2,33.6
0,199.25797081924975,33.8,33.3
0,200.2687208559364,33.2,33.0
0,201.28125390410423,15.7,33.0
0,202.29386260733008,11.2,33.0
0,203.30694306083024,9.8,33.0
0,204.3207330647856,6.3,33.0
0,205.3342463709414,10.6,33.0
0,206.34550338424742,7.6,33.0
0,207.35883120447397,9.3,33.0
0,208.37212211079895,6.3,33.0
0,209.38409379683435,9.8,33.3
0,210.39733617566526,22.2,33.0
0,211.41085047647357,10.8,33.0
0,212.4250244256109,12.1,33.0
0,213.4371657408774,7.1,33.0
0,214.44838502444327,7.3,33.0
0,215.4588837698102,5.8,33.0
0,216.47191942110658,8.8,33.0
0,217.4845520723611,9.0,33.0
0,218.49645175598562,12.2,33.0
0,219.50808892026544,10.4,33.0
0,220.51861216686666,9.1,33.0
0,221.52949848026037,9.9,33.0
0,222.54220888391137,7.8,33.0
0,223.5580251235515,11.4,33.0
0,224.57192449644208,9.0,33.0
0,225.58432183228433,8.7,33.0
0,226.59571120887995,16.5,33.2
0,227.60693555511534,33.3,33.1
0,228.62001518160105,32.2,33.3
0,229.63244432024658,33.7,33.3
0,230.64441157504916,29.8,33.0
0,231.65650624409318,8.8,33.0
0,232.66936372965574,10.1,33.0
0,233.68340241536498,6.6,33.0
0,234.6967689972371,10.7,33.0
0,235.7093066405505,13.6,33.0
0,236.72234209626913,9.3,33.0
0,237.73393047600985,4.9,33.0
0,238.74691265635192,7.8,33.0
0,239.7593689598143,8.6,33.0
0,240.77287237159908,9.2,33.0
0,241.78613845072687,11.9,33.0
0,242.79910076782107,9.7,33.0
0,243.81065793521702,23.6,33.2
0,244.82024897634983,34.1,33.4
0,245.8315787743777,32.8,33.5
0,246.8440524097532,32.8,33.8
0,247.85622153431177,33.3,33.4
0,248.8683389555663,32.1,34.0
0,249.88007675856352,40.9,36.2
0,250.8934571314603,15.2,34.9
0,251.90661038644612,10.5,34.9
0,252.91961270943284,7.1,34.9
0,253.9311784747988,6.9,34.9
0,254.94246013090014,10.3,34.9
0,255.95608278363943,8.5,34.9
0,256.9685347918421,19.3,35.0
0,257.98299195989966,31.6,35.0
0,258.99537716805935,32.0,35.3
0,260.003695236519,37.3,35.6
0,261.01649031974375,48.7,35.3
0,262.0294429510832,19.4,34.9
0,263.0429726950824,9.5,34.9
0,264.0562271103263,8.4,34.9
0,265.06945399567485,11.6,34.9
0,266.08303369022906,8.9,34.9
0,267.09672595374286,10.2,34.9
0,268.1100549399853,8.0,34.9
0,269.1207662317902,7.3,34.9
0,270.1363042034209,8.9,34.9
0,271.1507909819484,13.3,34.9
0,272.164179103449,11.3,34.9
0,273.1769694592804,9.4,34.9
0,274.1883585229516,7.5,34.9
0,275.2048469595611,11.0,34.9
0,276.21736767329276,8.4,34.9
0,277.22851461172104,7.7,34.9
0,278.2420413084328,5.9,34.9
0,279.25541842728853,9.6,34.9
0,280.26787089556456,10.8,34.9
0,281.2799706123769,10.4,34.9
0,282.29242432676256,7.9,34.9
0,283.3053394332528,8.2,34.9
0,284.3163325469941,8.5,34.9
0,285.3281907271594,9.1,34.9
0,286.3399248495698,8.3,34.9
0,287.35191640257835,24.3,34.9
0,288.3641959298402,33.0,35.4
0,289.377194641158,33.2,35.2
0,290.3921992722899,33.3,35.6
0,291.40617871657014,17.8,34.9
0,292.41996666789055,7.8,34.9
0,293.4334504958242,9.2,34.9
0,294.44549764320254,10.3,34.9
0,295.4578063674271,11.6,34.9
0,296.46863935142756,7.8,34.9
0,297.4824776723981,7.9,34.9
0,298.49678301624954,8.1,34.9
0,299.5096459593624,12.1,35.0
0,300.5220825076103,9.3,35.0
0,301.53476408682764,10.3,35.0
0,302.54844798892736,11.3,35.0
0,303.55832474306226,6.8,35.0
0,304.5719539858401,10.0,35.0
0,305.5843698717654,9.1,35.0
0,306.59737307578325,10.6,35.0
0,307.6110463757068,8.8,35.0
0,308.62447195127606,9.3,34.9
0,309.6385459061712,8.1,34.9
0,310.65221294760704,11.4,34.9
0,311.66407176852226,12.5,35.4
0,312.67710316739976,15.7,34.9
0,313.68926409073174,8.1,34.9
0,314.6980847772211,9.5,34.9
0,315.7107621077448,7.4,34.9
0,316.7250215280801,10.9,34.9
0,317.73856328241527,25.8,35.4
0,318.75147384777665,28.6,35.0
0,319.76402204856277,27.4,35.2
0,320.77656762488186,30.7,35.2
0,321.79031484387815,8.5,34.9
0,322.8039605356753,4.5,34.9
0,323.8170738425106,2.8,34.9
0,324.8309374861419,6.0,34.9
0,325.8446137215942,5.0,34.9
0,326.85839726030827,3.8,34.9
0,327.87274897657335,3.5,34.9
0,328.88562119193375,4.0,34.9
0,329.8944836203009,4.1,34.9
0,330.90829675644636,7.1,34.9
0,331.9225577004254,3.5,34.9
0,332.9366185590625,10.8,34.9
0,333.9497624002397,2.5,34.9
0,334.9638213030994,1.3,34.9
0,335.97815695405006,3.8,34.9
0,336.99115862697363,5.8,34.9
0,338.00460393354297,2.5,34.9
0,339.019038612023,5.7,34.9
0,340.0370594393462,3.6,34.9
0,341.05127309449017,7.1,34.9
0,342.064718561247,3.0,34.9
0,343.07882632501423,5.5,34.9
0,344.0929801762104,2.5,34.9
0,345.10684233903885,5.2,34.9
0,346.1207291521132,4.8,34.9
0,347.13522769138217,4.1,34.9
0,348.14830992370844,28.1,35.3
0,349.1614224649966,28.3,35.5
0,350.17472838051617,28.1,35.2
0,351.18817786313593,30.3,34.9
0,352.2010382860899,3.2,34.9
0,353.21418789587915,3.5,34.9
0,354.22767129167914,5.2,34.9
0,355.24162395484746,5.0,34.9
0,356.2560231424868,5.8,34.9
0,357.27042435482144,6.2,34.9
0,358.28314583562315,2.8,34.9
0,359.2964010797441,5.8,34.9
0,360.31141331605613,3.5,34.9
0,361.324356963858,7.8,34.9
0,362.3384999651462,16.2,35.1
0,363.3522091563791,10.6,34.9
0,364.36389826238155,6.5,34.9
0,365.3782822396606,3.8,34.9
0,366.39282218553126,3.5,35.0
0,367.40607758425176,4.6,34.9
0,368.420167863369,3.3,34.9
0,369.4348136354238,3.3,34.9
0,370.4476126153022,13.8,33.5
0,371.46211557649076,6.3,33.5
0,372.47682696022093,2.5,33.5
0,373.49095463193953,3.8,33.5
0,374.5049654673785,5.2,33.5
0,375.51872815564275,4.8,33.5
0,376.5329761952162,3.8,33.5
0,377.54440007545054,7.3,33.5
0,378.5551691669971,31.5,33.9
0,379.5679415669292,28.2,33.7
0,380.5824657958001,29.5,33.7
0,381.59662008844316,27.6,33.5
0,382.61070951633155,6.0,33.5
0,383.6245023533702,4.0,33.5
0,384.63843901641667,4.3,33.5
0,385.64885180816054,6.7,33.5
0,386.6617962270975,5.0,33.5
0,387.67584560997784,4.8,33.4
0,388.690232751891,4.0,33.4
0,389.7049190402031,4.0,33.4
0,390.7195951361209,6.5,33.5
